name,city_ascii,lat,lon,country,iso2,iso3,admin_name,capital,population,id
New York,New York,40.6943,-73.9249,United States,US,USA,New York,,19354922,1840034016
Los Angeles,Los Angeles,34.1139,-118.4068,United States,US,USA,California,,12815475,1840020491
Chicago,Chicago,41.8373,-87.6861,United States,US,USA,Illinois,,8675982,1840000494
Miami,Miami,25.784,-80.2102,United States,US,USA,Florida,,6381966,1840015149
Dallas,Dallas,32.7937,-96.7662,United States,US,USA,Texas,,5733259,1840019440
Philadelphia,Philadelphia,40.0076,-75.134,United States,US,USA,Pennsylvania,,5637884,1840000673
Houston,Houston,29.7868,-95.3905,United States,US,USA,Texas,,5446468,1840020925
Washington,Washington,38.9047,-77.0163,United States,US,USA,District of Columbia,primary,5289420,1840006060
Atlanta,Atlanta,33.7626,-84.4228,United States,US,USA,Georgia,admin,5228750,1840013660
Toronto,Toronto,43.7,-79.42,Canada,CA,CAN,Ontario,admin,5213000,1124279679
Boston,Boston,42.3188,-71.0846,United States,US,USA,Massachusetts,admin,4637537,1840000455
Guadalajara,Guadalajara,20.67,-103.33,Mexico,MX,MEX,Jalisco,admin,4198000,1484950208
Phoenix,Phoenix,33.5722,-112.0891,United States,US,USA,Arizona,admin,4081849,1840020568
Monterrey,Monterrey,25.67,-100.33,Mexico,MX,MEX,Nuevo León,admin,3712000,1484559591
Montréal,Montreal,45.5,-73.5833,Canada,CA,CAN,Québec,,3678000,1124586170
Seattle,Seattle,47.6211,-122.3244,United States,US,USA,Washington,,3643765,1840021117
San Francisco,San Francisco,37.7562,-122.443,United States,US,USA,California,,3603761,1840021543
Detroit,Detroit,42.3834,-83.1024,United States,US,USA,Michigan,,3522206,1840003971
San Diego,San Diego,32.8312,-117.1226,United States,US,USA,California,,3210314,1840021990
Minneapolis,Minneapolis,44.9635,-93.2678,United States,US,USA,Minnesota,,2926757,1840007830
Tampa,Tampa,27.9937,-82.4454,United States,US,USA,Florida,,2804240,1840015982
Denver,Denver,39.7621,-104.8759,United States,US,USA,Colorado,admin,2787266,1840018789
Brooklyn,Brooklyn,40.6501,-73.9496,United States,US,USA,New York,,2629150,1840034030
Queens,Queens,40.7498,-73.7976,United States,US,USA,New York,,2333054,1840034002
Vancouver,Vancouver,49.2734,-123.1216,Canada,CA,CAN,British Columbia,,2313328,1124825478
Havana,Havana,23.132,-82.3642,Cuba,CU,CUB,La Habana,primary,2174000,1192752771
Baltimore,Baltimore,39.3051,-76.6144,United States,US,USA,Maryland,,2170504,1840001592
Riverside,Riverside,33.9381,-117.3948,United States,US,USA,California,,2084749,1840020551
Saint Louis,Saint Louis,38.6358,-90.2451,United States,US,USA,Missouri,,2078283,1840001651
Las Vegas,Las Vegas,36.2291,-115.2607,United States,US,USA,Nevada,,2073045,1840020364
Portland,Portland,45.5372,-122.65,United States,US,USA,Oregon,,2052796,1840019941
San Antonio,San Antonio,29.4722,-98.5247,United States,US,USA,Texas,,2002530,1840022220
Sacramento,Sacramento,38.5667,-121.4683,United States,US,USA,California,admin,1854698,1840021491
San Jose,San Jose,37.3018,-121.8485,United States,US,USA,California,,1821899,1840021570
Orlando,Orlando,28.4788,-81.342,United States,US,USA,Florida,,1776841,1840015099
Cleveland,Cleveland,41.4767,-81.6805,United States,US,USA,Ohio,,1730363,1840000596
Pittsburgh,Pittsburgh,40.4396,-79.9763,United States,US,USA,Pennsylvania,,1715297,1840001254
Cincinnati,Cincinnati,39.1412,-84.5059,United States,US,USA,Ohio,,1648254,1840003814
Manhattan,Manhattan,40.7834,-73.9662,United States,US,USA,New York,,1643734,1840034000
Austin,Austin,30.3006,-97.7517,United States,US,USA,Texas,admin,1638716,1840019590
Kansas City,Kansas City,39.1239,-94.5541,United States,US,USA,Missouri,,1615621,1840008535
Indianapolis,Indianapolis,39.7771,-86.1458,United States,US,USA,Indiana,admin,1564699,1840030084
Tijuana,Tijuana,32.5,-117.08,Mexico,MX,MEX,Baja California,minor,1553000,1484708778
Columbus,Columbus,39.986,-82.9852,United States,US,USA,Ohio,admin,1528314,1840003760
León,Leon,21.15,-101.7,Mexico,MX,MEX,Guanajuato,minor,1488000,1484811199
Virginia Beach,Virginia Beach,36.7335,-76.0435,United States,US,USA,Virginia,,1480383,1840003871
Charlotte,Charlotte,35.2079,-80.8303,United States,US,USA,North Carolina,,1467362,1840014557
Bronx,Bronx,40.8501,-73.8662,United States,US,USA,New York,,1455720,1840033999
Milwaukee,Milwaukee,43.064,-87.9669,United States,US,USA,Wisconsin,,1377808,1840003046
Ciudad Juárez,Ciudad Juarez,31.6904,-106.49,Mexico,MX,MEX,Chihuahua,minor,1343000,1484840083
Providence,Providence,41.8229,-71.4186,United States,US,USA,Rhode Island,admin,1206642,1840003289
Jacksonville,Jacksonville,30.3322,-81.6749,United States,US,USA,Florida,,1156291,1840015031
Ottawa,Ottawa,45.4167,-75.7,Canada,CA,CAN,Ontario,primary,1145000,1124399363
Torreón,Torreon,25.5701,-103.42,Mexico,MX,MEX,Coahuila de Zaragoza,minor,1144000,1484215762
Calgary,Calgary,51.083,-114.08,Canada,CA,CAN,Alberta,,1110000,1124690423
Salt Lake City,Salt Lake City,40.7774,-111.9301,United States,US,USA,Utah,admin,1098400,1840021383
Nashville,Nashville,36.1714,-86.7844,United States,US,USA,Tennessee,admin,1076645,1840036155
Memphis,Memphis,35.1047,-89.9773,United States,US,USA,Tennessee,,1068873,1840015457
Richmond,Richmond,37.5295,-77.4756,United States,US,USA,Virginia,admin,1059907,1840001698
New Orleans,New Orleans,30.0687,-89.9288,United States,US,USA,Louisiana,,1029123,1840001839
Raleigh,Raleigh,35.8323,-78.6439,United States,US,USA,North Carolina,admin,1018336,1840014497
Louisville,Louisville,38.1662,-85.6488,United States,US,USA,Kentucky,,1011696,1840030815
San Luis Potosí,San Luis Potosi,22.17,-101,Mexico,MX,MEX,San Luis Potosí,admin,992000,1484583620
Mérida,Merida,20.9666,-89.6166,Mexico,MX,MEX,Yucatán,admin,965000,1484396779
Querétaro,Queretaro,20.63,-100.38,Mexico,MX,MEX,Querétaro,admin,961000,1484604775
Oklahoma City,Oklahoma City,35.4676,-97.5136,United States,US,USA,Oklahoma,admin,955998,1840020428
Bridgeport,Bridgeport,41.1909,-73.1958,United States,US,USA,Connecticut,,938406,1840004836
Buffalo,Buffalo,42.9017,-78.8487,United States,US,USA,New York,,926261,1840000386
Hartford,Hartford,41.7661,-72.6834,United States,US,USA,Connecticut,,914751,1840004773
Mexicali,Mexicali,32.65,-115.48,Mexico,MX,MEX,Baja California,admin,885000,1484788702
Fort Worth,Fort Worth,32.7814,-97.3473,United States,US,USA,Texas,,874168,1840020696
Aguascalientes,Aguascalientes,21.8795,-102.2904,Mexico,MX,MEX,Aguascalientes,admin,869000,1484666646
Tucson,Tucson,32.1546,-110.8782,United States,US,USA,Arizona,,868391,1840022101
Tampico,Tampico,22.3,-97.87,Mexico,MX,MEX,Tamaulipas,minor,859419,1484060031
El Paso,El Paso,31.8479,-106.4309,United States,US,USA,Texas,,845674,1840023252
Omaha,Omaha,41.2628,-96.0495,United States,US,USA,Nebraska,,827786,1840009315
Culiacán,Culiacan,24.83,-107.38,Mexico,MX,MEX,Sinaloa,admin,809000,1484516810
McAllen,McAllen,26.2325,-98.2467,United States,US,USA,Texas,,800904,1840021024
Chihuahua,Chihuahua,28.645,-106.085,Mexico,MX,MEX,Chihuahua,admin,793000,1484335603
Albuquerque,Albuquerque,35.1053,-106.6464,United States,US,USA,New Mexico,,758523,1840019176
Saltillo,Saltillo,25.42,-101.005,Mexico,MX,MEX,Coahuila de Zaragoza,admin,754000,1484107245
Birmingham,Birmingham,33.5276,-86.7988,United States,US,USA,Alabama,,744189,1840006507
Hamilton,Hamilton,43.25,-79.83,Canada,CA,CAN,Ontario,,721053,1124567288
Dayton,Dayton,39.7797,-84.1998,United States,US,USA,Ohio,,718169,1840034249
Rochester,Rochester,43.168,-77.6162,United States,US,USA,New York,,711998,1840000373
Sarasota,Sarasota,27.3391,-82.5439,United States,US,USA,Florida,,706245,1840015988
Fresno,Fresno,36.7834,-119.7941,United States,US,USA,California,,698021,1840020319
Allentown,Allentown,40.5961,-75.4756,United States,US,USA,Pennsylvania,,682899,1840001044
Tulsa,Tulsa,36.1284,-95.9042,United States,US,USA,Oklahoma,,672054,1840021672
Concord,Concord,37.9722,-122.0016,United States,US,USA,California,,654770,1840018905
Winnipeg,Winnipeg,49.883,-97.166,Canada,CA,CAN,Manitoba,admin,632063,1124224963
Cape Coral,Cape Coral,26.6444,-81.9956,United States,US,USA,Florida,,630134,1840015130
Springfield,Springfield,42.1155,-72.5395,United States,US,USA,Massachusetts,,628076,1840000466
Québec,Quebec,46.84,-71.2456,Canada,CA,CAN,Québec,admin,624177,1124823933
Colorado Springs,Colorado Springs,38.8674,-104.7606,United States,US,USA,Colorado,,623946,1840018825
Charleston,Charleston,32.8137,-79.9643,United States,US,USA,South Carolina,,616085,1840015163
Grand Rapids,Grand Rapids,42.9615,-85.6557,United States,US,USA,Michigan,,602694,1840002928
Mission Viejo,Mission Viejo,33.6095,-117.6551,United States,US,USA,California,,600474,1840020580
Albany,Albany,42.6664,-73.7987,United States,US,USA,New York,admin,597270,1840000417
Hermosillo,Hermosillo,29.0989,-110.9541,Mexico,MX,MEX,Sonora,admin,595811,1484015319
Knoxville,Knoxville,35.9692,-83.9495,United States,US,USA,Tennessee,,585249,1840014486
Baton Rouge,Baton Rouge,30.4423,-91.1314,United States,US,USA,Louisiana,admin,583613,1840013941
Bakersfield,Bakersfield,35.353,-119.036,United States,US,USA,California,,574362,1840019148
Ogden,Ogden,41.228,-111.9677,United States,US,USA,Utah,,573632,1840020135
New Haven,New Haven,41.3112,-72.9245,United States,US,USA,Connecticut,,568144,1840004850
Columbia,Columbia,34.037,-80.9042,United States,US,USA,South Carolina,admin,566166,1840014730
Akron,Akron,41.0802,-81.5219,United States,US,USA,Ohio,,565920,1840000791
Cancún,Cancun,21.17,-86.83,Mexico,MX,MEX,Quintana Roo,minor,542043,1484010310
Matamoros,Matamoros,25.88,-97.5,Mexico,MX,MEX,Tamaulipas,minor,538785,1484614906
Provo,Provo,40.2458,-111.6457,United States,US,USA,Utah,,503695,1840020174
Mazatlán,Mazatlan,29.0171,-110.1333,Mexico,MX,MEX,Sonora,minor,500000,1484350756
Worcester,Worcester,42.2705,-71.8079,United States,US,USA,Massachusetts,,498997,1840000434
